,空實櫃別,總計,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,實櫃,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,空櫃,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,港口別,港口別總計,,,,,基隆港,,,,,高雄港,,,,,臺中港,,,,,臺北港,,,,,安平港,,,,,港口別總計,,,,,基隆港,,,,,高雄港,,,,,臺中港,,,,,臺北港,,,,,安平港,,,,,港口別總計,,,,,基隆港,,,,,高雄港,,,,,臺中港,,,,,臺北港,,,,,安平港,,,,
,貨櫃類型別,貨櫃類型別總計,10呎,20呎,40呎,45呎,貨櫃類型別總計,10呎,20呎,40呎,45呎,貨櫃類型別總計,10呎,20呎,40呎,45呎,貨櫃類型別總計,10呎,20呎,40呎,45呎,貨櫃類型別總計,10呎,20呎,40呎,45呎,貨櫃類型別總計,10呎,20呎,40呎,45呎,貨櫃類型別總計,10呎,20呎,40呎,45呎,貨櫃類型別總計,10呎,20呎,40呎,45呎,貨櫃類型別總計,10呎,20呎,40呎,45呎,貨櫃類型別總計,10呎,20呎,40呎,45呎,貨櫃類型別總計,10呎,20呎,40呎,45呎,貨櫃類型別總計,10呎,20呎,40呎,45呎,貨櫃類型別總計,10呎,20呎,40呎,45呎,貨櫃類型別總計,10呎,20呎,40呎,45呎,貨櫃類型別總計,10呎,20呎,40呎,45呎,貨櫃類型別總計,10呎,20呎,40呎,45呎,貨櫃類型別總計,10呎,20呎,40呎,45呎,貨櫃類型別總計,10呎,20呎,40呎,45呎
日期,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
111年06月,,834231,2,347642,485322,1265,92492,-,37611,54835,46,549069,2,226752,321306,1009,100866,-,46896,53928,42,91736,-,36344,55224,168,68,-,39,29,-,710031,2,296048,413346,635,71849,-,30809,41014,26,478376,2,195293,282553,528,83609,-,39247,44340,22,76168,-,30699,45410,59,29,-,-,29,-,124200,-,51594,71976,630,20643,-,6802,13821,20,70693,-,31459,38753,481,17257,-,7649,9588,20,15568,-,5645,9814,109,39,-,39,-,-
111年07月,,827423,3,347624,478514,1282,95253,-,38009,57203,41,534649,3,225221,308422,1003,100240,-,46973,53248,19,97180,-,37374,59587,219,101,-,47,54,-,699851,1,296256,402946,648,71808,-,30244,41542,22,462290,1,193859,267859,571,86245,-,40564,45665,16,79434,-,31543,47852,39,74,-,46,28,-,127572,2,51368,75568,634,23445,-,7765,15661,19,72359,2,31362,40563,432,13995,-,6409,7583,3,17746,-,5831,11735,180,27,-,1,26,-
111年08月,,786066,1,331390,453412,1263,87514,-,34694,52748,72,511498,1,222057,288367,1073,95311,-,42284,52984,43,91568,-,32283,59210,75,175,-,72,103,-,655631,1,277165,377803,662,66377,-,28115,38220,42,438441,1,184899,253009,532,80115,-,36428,43650,37,70569,-,27687,42831,51,129,-,36,93,-,130435,-,54225,75609,601,21137,-,6579,14528,30,73057,-,37158,35358,541,15196,-,5856,9334,6,20999,-,4596,16379,24,46,-,36,10,-
111年09月,,704781,3,298240,405438,1100,76174,-,29918,46187,69,461190,3,197934,262359,894,84685,-,39088,45552,45,82560,-,31200,51268,92,172,-,100,72,-,589408,2,248745,340034,627,60219,-,25046,35136,37,396954,2,166506,229936,510,67955,-,32169,35757,29,64202,-,24988,39163,51,78,-,36,42,-,115373,1,49495,65404,473,15955,-,4872,11051,32,64236,1,31428,32423,384,16730,-,6919,9795,16,18358,-,6212,12105,41,94,-,64,30,-
111年10月,,724672,5,317512,405977,1178,78451,-,31068,47301,82,472642,5,210855,260891,891,85092,-,41374,43682,36,88423,-,34179,54075,169,64,-,36,28,-,610957,3,269018,341460,476,61219,-,25321,35870,28,410475,3,181708,228373,391,68688,-,34150,34523,15,70531,-,27803,42686,42,44,-,36,8,-,113715,2,48494,64517,702,17232,-,5747,11431,54,62167,2,29147,32518,500,16404,-,7224,9159,21,17892,-,6376,11389,127,20,-,-,20,-
111年11月,,757512,1,324691,431761,1059,84376,-,32724,51611,41,479703,1,211186,267771,745,97733,-,46281,51379,73,95537,-,34403,60934,200,163,-,97,66,-,633180,1,271419,361237,523,65813,-,26487,39305,21,410303,1,177900,232009,393,79468,-,37762,41667,39,77489,-,29229,48190,70,107,-,41,66,-,124332,-,53272,70524,536,18563,-,6237,12306,20,69400,-,33286,35762,352,18265,-,8519,9712,34,18048,-,5174,12744,130,56,-,56,-,-
111年12月,,751893,7,321025,429670,1191,85856,-,34317,51471,68,483574,7,210917,271739,911,91942,-,42189,49689,64,90286,-,33509,56629,148,235,-,93,142,-,635229,4,267359,367316,550,65278,-,26399,38838,41,417536,4,177295,239796,441,77028,-,35576,41417,35,75205,-,28017,47155,33,182,-,72,110,-,116664,3,53666,62354,641,20578,-,7918,12633,27,66038,3,33622,31943,470,14914,-,6613,8272,29,15081,-,5492,9474,115,53,-,21,32,-
112年,,8628751,27,3664100,4950119,14505,959893,-,386908,572012,973,5620684,27,2410175,3199772,10710,1044117,-,478264,564938,915,1002476,-,387715,612854,1907,1581,-,1038,543,-,7340188,18,3118071,4214312,7787,736789,-,310342,425940,507,4868445,18,2057119,2805260,6048,878205,-,406882,470772,551,855897,-,343188,512028,681,852,-,540,312,-,1288563,9,546029,735807,6718,223104,-,76566,146072,466,752239,9,353056,394512,4662,165912,-,71382,94166,364,146579,-,44527,100826,1226,729,-,498,231,-
112年01月,,667117,1,280176,385889,1051,66674,-,26195,40443,36,440031,1,188813,250375,842,75009,-,35690,39265,54,85194,-,29334,55741,119,209,-,144,65,-,552255,1,231446,320250,558,49447,-,19997,29416,34,375293,1,157872,216994,426,60479,-,28960,31481,38,66904,-,24545,42299,60,132,-,72,60,-,114862,-,48730,65639,493,17227,-,6198,11027,2,64738,-,30941,33381,416,14530,-,6730,7784,16,18290,-,4789,13442,59,77,-,72,5,-
112年02月,,659071,3,290185,368175,708,69521,-,29459,40038,24,419508,3,190381,228706,418,83999,-,39786,44119,94,85947,-,30487,55288,172,96,-,72,24,-,557928,3,245709,311855,361,56560,-,24693,31844,23,361397,3,161097,200052,245,69555,-,33244,36265,46,70368,-,26639,43682,47,48,-,36,12,-,101143,-,44476,56320,347,12961,-,4766,8194,1,58111,-,29284,28654,173,14444,-,6542,7854,48,15579,-,3848,11606,125,48,-,36,12,-
