scenario,family,phase,w_source_pressure_pct,w_target_buffer_pct,w_distance_pct,ym,source_port,source_status,source_pressure_index,source_buffer_index,source_empty_net,source_roll3_empty_net,source_next_empty_net,source_next_roll3_empty_net,source_next_pressure_index,source_next_buffer_index,source_next_status,target_port,target_status,target_pressure_index,target_buffer_index,target_empty_net,target_roll3_empty_net,target_next_empty_net,target_next_roll3_empty_net,target_next_pressure_index,target_next_buffer_index,target_next_status,distance_class,distance_factor,source_pressure_pct,target_buffer_pct,distance_pct,source_next_positive_empty_net,source_next_positive_roll3,source_next_high_pressure,target_next_low_pressure,target_next_not_high_pressure,target_next_nonpositive_roll3,pair_viable_flag,pair_stable_flag,outcome_score,matching_score,rank_global,rank_within_source
custom,custom,parent,0.45,0.35,0.2,202511,臺中港,高壓力港,0.498,0.33,4932,4638.666666666667,2933,4123.333333333333,0.29454545454545455,0.24545454545454545,高壓力港,高雄港,高緩衝港,0,0.48,1254,9768.666666666666,1977,7682.666666666666,0.07454545454545454,0.4227272727272727,高緩衝港,3,0.7,0.498,0.48,0.7,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,3,0.5321,4,2
custom,custom,parent,0.45,0.35,0.2,202511,臺北港,高壓力港,0.8140000000000001,0.18,4029,2151.6666666666665,3800,2467.3333333333335,0.669090909090909,0.19090909090909092,高壓力港,基隆港,高緩衝港,0,0.49,-25006,-27342.333333333332,-25087,-24800.666666666668,0,0.4636363636363636,高緩衝港,1,1,0.8140000000000001,0.49,1,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,4,0.7378,1,1
custom,custom,parent,0.45,0.35,0.2,202511,臺北港,高壓力港,0.8140000000000001,0.18,4029,2151.6666666666665,3800,2467.3333333333335,0.669090909090909,0.19090909090909092,高壓力港,高雄港,高緩衝港,0,0.48,1254,9768.666666666666,1977,7682.666666666666,0.07454545454545454,0.4227272727272727,高緩衝港,3,0.7,0.8140000000000001,0.48,0.7,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,3,0.6743,2,2
roc,roc,parent,0.611,0.278,0.111,202503,臺中港,高壓力港,0.7999999999999999,0.3,4011,2193.6666666666665,5963,3420.3333333333335,1,0.1,高壓力港,臺北港,高緩衝港,0.11,0.5,-3224,-801.6666666666666,4684,2087,0.8,0.04999999999999999,高壓力港,2,0.85,0.7999999999999999,0.5,0.85,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,2,0.72215,1,1
roc,roc,parent,0.611,0.278,0.111,202503,高雄港,高壓力港,0.5,0.225,25438,22154,20982,24601.333333333332,0.4533333333333333,0.35,高緩衝港,臺北港,高緩衝港,0.11,0.5,-3224,-801.6666666666666,4684,2087,0.8,0.04999999999999999,高壓力港,3,0.7,0.5,0.5,0.7,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1,0.5222,2,1
roc,roc,parent,0.611,0.278,0.111,202504,臺中港,高壓力港,1,0.1,5963,3420.3333333333335,5496,5156.666666666667,0.8499999999999999,0.075,高壓力港,基隆港,高緩衝港,0.07333333333333333,0.4,-27644,-25496.666666666668,-31320,-29573.333333333332,0.22,0.1375,正常港,2,0.85,1,0.4,0.85,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,4,0.81655,1,1
roc,roc,parent,0.611,0.278,0.111,202504,臺中港,高壓力港,1,0.1,5963,3420.3333333333335,5496,5156.666666666667,0.8499999999999999,0.075,高壓力港,高雄港,高緩衝港,0.4533333333333333,0.35,20982,24601.333333333332,26882,24434,0.64,0.4125,高壓力港,3,0.7,1,0.35,0.7,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,2,0.7859999999999999,2,2
roc,roc,parent,0.611,0.278,0.111,202504,臺北港,高壓力港,0.8,0.04999999999999999,4684,2087,-2013,-184.33333333333343,0.11,0.425,高緩衝港,基隆港,高緩衝港,0.07333333333333333,0.4,-27644,-25496.666666666668,-31320,-29573.333333333332,0.22,0.1375,正常港,1,1,0.8,0.4,1,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,2,0.7110000000000001,3,1
roc,roc,parent,0.611,0.278,0.111,202504,臺北港,高壓力港,0.8,0.04999999999999999,4684,2087,-2013,-184.33333333333343,0.11,0.425,高緩衝港,高雄港,高緩衝港,0.4533333333333333,0.35,20982,24601.333333333332,26882,24434,0.64,0.4125,高壓力港,3,0.7,0.8,0.35,0.7,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0.6638000000000001,4,2
roc,roc,parent,0.611,0.278,0.111,202505,臺中港,高壓力港,0.8499999999999999,0.075,5496,5156.666666666667,4450,5303,0.628,0.36,高壓力港,臺北港,高緩衝港,0.11,0.425,-2013,-184.33333333333343,-2713,-14,0.08800000000000001,0.4900000000000001,正常港,2,0.85,0.8499999999999999,0.425,0.85,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,4,0.7318499999999999,1,1
