ym,port,history_n,pressure_scenario,buffer_scenario,analysis_universe,empty_in,empty_out,full_in,full_out,throughput,empty_net,empty_total_flow,full_total_flow,export_pull,roll3_empty_net,cum_empty_net,pressure_flow_raw,pressure_net_raw,pressure_roll_raw,buffer_space_raw,buffer_net_raw,buffer_export_raw,pressure_index,buffer_index,high_pressure_cut,high_buffer_cut,low_pressure_cut,status
202508,基隆港,8,roc_prev_best,custom_nearby_c,基隆港、臺北港、臺中港、高雄港,2430,33095,90360,22389,139112,-30665,35525,112749,0.16094226234976133,-29370.666666666668,-233287,0.01746793950198401,0,0,0.982532060498016,0.2111296413441448,0.16094226234976133,0.15714285714285714,0.3285714285714285,0.3357142857142857,0.4660714285714285,0.18428571428571427,正常港
202508,臺中港,8,roc_prev_best,custom_nearby_c,基隆港、臺北港、臺中港、高雄港,13444,7876,90881,51132,139444,5568,21320,142013,0.366684834055248,5629,34927,0.09641146266601648,0.0399300077450446,0.04036745933851582,0.9035885373339836,0,0.366684834055248,0.7085714285714285,0.2571428571428571,0.3357142857142857,0.4660714285714285,0.18428571428571427,高壓力港
202508,臺北港,8,roc_prev_best,custom_nearby_c,基隆港、臺北港、臺中港、高雄港,3206,6951,72494,54714,117768.5,-3745,10157,127208,0.46458942756339766,-3562.6666666666665,-10422,0.02722289916233967,0,0,0.9727771008376604,0.03025143961812086,0.46458942756339766,0.03142857142857142,0.8785714285714286,0.3357142857142857,0.4660714285714285,0.18428571428571427,高緩衝港
202508,高雄港,8,roc_prev_best,custom_nearby_c,基隆港、臺北港、臺中港、高雄港,70142,57855,387439,289330,762628,12287,127997,676769,0.3793854933204656,12481.666666666666,151771,0.09197406861536686,0.01611139375947382,0.01636665145610529,0.9080259313846332,0,0.3793854933204656,0.2114285714285714,0.21428571428571427,0.3357142857142857,0.4660714285714285,0.18428571428571427,正常港
202509,基隆港,9,roc_prev_best,custom_nearby_c,基隆港、臺北港、臺中港、高雄港,2329,35041,93011,18848,134993,-32712,37370,111859,0.1396220544768988,-30749,-265999,0.01725274643870423,0,0,0.9827472535612958,0.22778218129828953,0.1396220544768988,0.1375,0.46875000000000006,0.59625,0.40312499999999996,0.36375,高緩衝港
202509,臺中港,9,roc_prev_best,custom_nearby_c,基隆港、臺北港、臺中港、高雄港,11343,6864,84933,45220,126648.75,4479,18207,130153,0.3570505038541636,5638.666666666667,39406,0.08956266840375447,0.03536552867675362,0.04452208700572779,0.9104373315962456,0,0.3570505038541636,0.59,0.24375,0.59625,0.40312499999999996,0.36375,正常港
202509,臺北港,9,roc_prev_best,custom_nearby_c,基隆港、臺北港、臺中港、高雄港,7833,4980,72964,44288,107584.75,2853,12813,117252,0.4116568565712148,-1707.3333333333337,-7569,0.07280771670706118,0.02651862833719463,0,0.9271922832929388,0.01586965934608142,0.4116568565712148,0.615,0.38125,0.59625,0.40312499999999996,0.36375,正常港
202509,高雄港,9,roc_prev_best,custom_nearby_c,基隆港、臺北港、臺中港、高雄港,63211,54976,363063,243335,695856.25,8235,118187,606398,0.34969147722679794,11602.666666666666,160006,0.09083916397962942,0.01183434078518372,0.01667394187616575,0.9091608360203706,0,0.34969147722679794,0.0775,0.3375,0.59625,0.40312499999999996,0.36375,正常港
202510,基隆港,10,roc_prev_best,custom_nearby_c,基隆港、臺北港、臺中港、高雄港,2527,26836,75672,19630,124129.75,-24309,29363,95302,0.15814097748525233,-29228.666666666668,-290308,0.0203577305198794,0,0,0.9796422694801206,0.2354686661873295,0.15814097748525233,0.1711111111111111,0.4944444444444444,0.5116666666666666,0.5027777777777778,0.3366666666666666,正常港
202510,臺中港,10,roc_prev_best,custom_nearby_c,基隆港、臺北港、臺中港、高雄港,10016,5511,80123,45046,124361.5,4505,15527,125169,0.36221821061984616,4850.666666666667,43911,0.08053939523083913,0.03622503749150661,0.03900456867010021,0.9194606047691608,0,0.36221821061984616,0.5022222222222221,0.38333333333333336,0.5116666666666666,0.5027777777777778,0.3366666666666666,正常港
202510,臺北港,10,roc_prev_best,custom_nearby_c,基隆港、臺北港、臺中港、高雄港,4013,4440,64311,51154,113001,-427,8453,115465,0.4526862594136335,-439.6666666666668,-7996,0.03551296006230033,0,0,0.9644870399376996,0.00389082102518266,0.4526862594136335,0.09777777777777776,0.5277777777777778,0.5116666666666666,0.5027777777777778,0.3366666666666666,高緩衝港
202510,高雄港,10,roc_prev_best,custom_nearby_c,基隆港、臺北港、臺中港、高雄港,68373,48556,359132,264526,704490.25,19817,116929,623658,0.3754856791843464,13446.333333333334,179823,0.0970531529712441,0.02812955892576228,0.01908661380811634,0.902946847028756,0,0.3754856791843464,0.54,0.18333333333333332,0.5116666666666666,0.5027777777777778,0.3366666666666666,高壓力港
202511,基隆港,11,roc_prev_best,custom_nearby_c,基隆港、臺北港、臺中港、高雄港,1350,26356,87131,16632,136588.25,-25006,27706,103763,0.12176742875027684,-27342.333333333332,-315314,0.00988371986609389,0,0,0.990116280133906,0.2001807134459467,0.12176742875027684,0,0.49,0.577,0.4825,0.249,高緩衝港
202511,臺中港,11,roc_prev_best,custom_nearby_c,基隆港、臺北港、臺中港、高雄港,10475,5543,86134,43059,129488.5,4932,16018,129193,0.33253146032273134,4638.666666666667,48843,0.08089521463295968,0.03808832444580021,0.03582300101295997,0.9191047853670404,0,0.33253146032273134,0.498,0.33,0.577,0.4825,0.249,正常港
202511,臺北港,11,roc_prev_best,custom_nearby_c,基隆港、臺北港、臺中港、高雄港,7765,3736,68329,52743,121710.5,4029,11501,121072,0.4333479855887537,2151.6666666666665,-3967,0.06379893271328275,0.03310314229257131,0.01767856238095042,0.9362010672867171,0,0.4333479855887537,0.8140000000000001,0.18,0.577,0.4825,0.249,高壓力港
202511,高雄港,11,roc_prev_best,custom_nearby_c,基隆港、臺北港、臺中港、高雄港,50592,49338,359557,261664,697826.25,1254,99930,621221,0.37497013045869226,9768.666666666666,181077,0.07249942231321908,0.00179700892593249,0.0139987090864906,0.927500577686781,0,0.37497013045869226,0,0.48,0.577,0.4825,0.249,正常港
202512,基隆港,12,roc_prev_best,custom_nearby_c,基隆港、臺北港、臺中港、高雄港,1272,26359,99956,18600,145851.5,-25087,27631,118556,0.1275269709259075,-24800.666666666668,-340401,0.0087211993020298,0,0,0.99127880069797,0.1700405320937163,0.1275269709259075,0,0.4636363636363636,0.3881818181818182,0.4329545454545454,0.18454545454545454,高緩衝港
202512,臺中港,12,roc_prev_best,custom_nearby_c,基隆港、臺北港、臺中港、高雄港,12988,10055,96048,53118,147130.25,2933,23043,149166,0.3610270491622219,4123.333333333333,51776,0.08827552457771261,0.01993471770760941,0.02802505489750294,0.9117244754222874,0,0.3610270491622219,0.29454545454545455,0.24545454545454545,0.3881818181818182,0.4329545454545454,0.18454545454545454,正常港
202512,臺北港,12,roc_prev_best,custom_nearby_c,基隆港、臺北港、臺中港、高雄港,8930,5130,84355,61543,148565.25,3800,14060,145898,0.4142489579494532,2467.3333333333335,-167,0.06010826892560676,0.02557798677685394,0.01660774194055025,0.9398917310743932,0,0.4142489579494532,0.669090909090909,0.19090909090909092,0.3881818181818182,0.4329545454545454,0.18454545454545454,高壓力港
202512,高雄港,12,roc_prev_best,custom_nearby_c,基隆港、臺北港、臺中港、高雄港,61529,59552,417202,283437,776950.5,1977,121081,700639,0.36480702438572343,7682.666666666666,183054,0.07919294729844437,0.0025445636498078,0.00988823183287309,0.9208070527015556,0,0.36480702438572343,0.07454545454545454,0.4227272727272727,0.3881818181818182,0.4329545454545454,0.18454545454545454,正常港
