ds,yhat,yhat_lower,yhat_upper,y,port,metric,metric_label,abs_error,ape,train_end_ds,ym
2026-02-01T00:00:00Z,0.13813563979146878,0.12254693117332219,0.1547056701856544,0.1589936493915904,臺中港,empty_share_count,空櫃占比,0.02085800960012163,0.13118769007402167,2025-10-01,202602
2026-03-01T00:00:00Z,0.14723389058592978,0.13093528336494548,0.16390476302699644,0.1454814847823181,臺中港,empty_share_count,空櫃占比,0.0017524058036116896,0.012045558967409426,2025-10-01,202603
2026-04-01T00:00:00Z,0.1441584319068137,0.1272465477516931,0.15878216302964426,0.13447116013168997,臺中港,empty_share_count,空櫃占比,0.00968727177512374,0.07203977243623708,2025-10-01,202604
2025-11-01T00:00:00Z,73413.27537015236,68469.06586835215,78111.17996956385,71241,臺中港,full_container_count,實櫃個數,2172.2753701523616,0.030491926982388815,2025-10-01,202511
2025-12-01T00:00:00Z,77152.04961258809,72706.0276879949,81800.5981023442,78389,臺中港,full_container_count,實櫃個數,1236.950387411911,0.015779642391303767,2025-10-01,202512
2026-01-01T00:00:00Z,68398.4227007719,63475.69380692455,72738.96170089845,73760,臺中港,full_container_count,實櫃個數,5361.577299228098,0.07268949700688854,2025-10-01,202601
2026-02-01T00:00:00Z,59439.95150229895,54704.71488612011,63964.09106764828,55223,臺中港,full_container_count,實櫃個數,4216.951502298951,0.07636223135829184,2025-10-01,202602
2026-03-01T00:00:00Z,76096.5936721869,71159.61888096498,80686.99878841198,76705,臺中港,full_container_count,實櫃個數,608.406327813107,0.007931768826192648,2025-10-01,202603
2026-04-01T00:00:00Z,71289.44727857188,66578.48742619585,76212.51231653581,72823,臺中港,full_container_count,實櫃個數,1533.5527214281174,0.021058631495930097,2025-10-01,202604
2025-11-01T00:00:00Z,87263.3431452417,81988.68468396706,92505.33004334064,83659,臺中港,total_container_count,空實櫃總個數,3604.343145241699,0.043083746461727954,2025-10-01,202511
2025-12-01T00:00:00Z,91259.11199517669,86405.78545178608,96688.26838309335,93778,臺中港,total_container_count,空實櫃總個數,2518.8880048233113,0.026860116496654988,2025-10-01,202512
2026-01-01T00:00:00Z,81517.15107763365,76288.43882832362,86642.48266772668,86052,臺中港,total_container_count,空實櫃總個數,4534.848922366349,0.05269893694936026,2025-10-01,202601
2026-02-01T00:00:00Z,68990.0052372013,63264.227968068735,74127.34169012384,65663,臺中港,total_container_count,空實櫃總個數,3327.0052372013015,0.05066788354478628,2025-10-01,202602
2026-03-01T00:00:00Z,90081.41851013592,84574.79531459315,95708.70812885227,89764,臺中港,total_container_count,空實櫃總個數,317.41851013591804,0.0035361448925618068,2025-10-01,202603
2026-04-01T00:00:00Z,84187.07570038336,78906.98101407036,89480.29514855723,84137,臺中港,total_container_count,空實櫃總個數,50.07570038335689,5.951685986350462e-4,2025-10-01,202604
2025-11-01T00:00:00Z,9301.519714234917,6083.799811688766,12228.538496483783,11017,臺北港,empty_container_count,空櫃個數,1715.480285765083,0.15571210726741244,2025-10-01,202511
2025-12-01T00:00:00Z,7901.4191273452925,4935.590253758903,11179.078937866827,12317,臺北港,empty_container_count,空櫃個數,4415.5808726547075,0.3584948341848427,2025-10-01,202512
2026-01-01T00:00:00Z,8314.467369982094,5078.092289700172,11578.933805895535,12192,臺北港,empty_container_count,空櫃個數,3877.532630017906,0.31803909366944766,2025-10-01,202601
2026-02-01T00:00:00Z,6197.683264132209,3284.2771034848743,9221.96393605286,8671,臺北港,empty_container_count,空櫃個數,2473.316735867791,0.2852400802523113,2025-10-01,202602
2026-03-01T00:00:00Z,8220.552000389032,5243.695672695457,11474.382419338408,14200,臺北港,empty_container_count,空櫃個數,5979.447999610968,0.421087887296547,2025-10-01,202603
2026-04-01T00:00:00Z,8340.483906224155,5348.019727859622,11378.841082764087,11390,臺北港,empty_container_count,空櫃個數,3049.5160937758446,0.2677362681102585,2025-10-01,202604
2025-11-01T00:00:00Z,0.13212876672613963,0.09740828518786471,0.16566746908475888,0.14520890997759325,臺北港,empty_share_count,空櫃占比,0.013080143251453624,0.09007810370225891,2025-10-01,202511
2025-12-01T00:00:00Z,0.11961157020569875,0.08757539061743826,0.15066840914333163,0.1342598648354044,臺北港,empty_share_count,空櫃占比,0.014648294629705641,0.10910404719730418,2025-10-01,202512
2026-01-01T00:00:00Z,0.1305028383399189,0.0992345447641559,0.16712263765514893,0.1427818571478762,臺北港,empty_share_count,空櫃占比,0.012279018807957287,0.08599845283732487,2025-10-01,202601
2026-02-01T00:00:00Z,0.12621765847591512,0.09225635435649711,0.16096374355736054,0.12760477984459617,臺北港,empty_share_count,空櫃占比,0.001387121368681049,0.010870449918650058,2025-10-01,202602
2026-03-01T00:00:00Z,0.12458928721823716,0.09203564380314086,0.15631145919112832,0.15463019426779337,臺北港,empty_share_count,空櫃占比,0.030040907049556212,0.1942758152235807,2025-10-01,202603
2026-04-01T00:00:00Z,0.12515342833251414,0.0895541766922821,0.16198708775977116,0.14483907475934332,臺北港,empty_share_count,空櫃占比,0.019685646426829184,0.13591392004911504,2025-10-01,202604
2025-11-01T00:00:00Z,65831.32515973962,61671.53941944656,70283.70295144492,64853,臺北港,full_container_count,實櫃個數,978.3251597396156,0.015085272227030601,2025-10-01,202511
2025-12-01T00:00:00Z,66347.87778852151,62206.58940712664,70237.7214445104,79423,臺北港,full_container_count,實櫃個數,13075.12221147849,0.16462639552117764,2025-10-01,202512
2026-01-01T00:00:00Z,59445.51418705576,55236.0933770386,63435.25636558536,73197,臺北港,full_container_count,實櫃個數,13751.485812944236,0.18786952761649026,2025-10-01,202601
