ym,ds,port,empty_container_count,total_container_count,pred_empty_share,pred_load_ratio_vs_q75,pred_empty_share_ratio_vs_q75,proxy_risk_score,proxy_risk_level,is_validation,actual_empty_share,actual_risk_level
202505,2025-05-01T00:00:00Z,基隆港,24072.13624209089,90261.20064316195,0.27015857208155797,1.0171594138188267,1.095559749454803,1.0602795984186137,watch,TRUE,0.2841732391782832,high
202505,2025-05-01T00:00:00Z,高雄港,74743.85496486422,499461.4690943839,0.1490689891964156,0.9490868616281067,1.063732299836323,1.0121418526426258,watch,TRUE,0.15585325862478985,high
202505,2025-05-01T00:00:00Z,臺中港,10883.45976516464,84349.11341658195,0.1417968657411226,0.8203371189825374,0.8163808502489579,0.8181611711790687,normal,TRUE,0.16473265562437606,normal
202505,2025-05-01T00:00:00Z,臺北港,7438.61068944036,75162.82209778292,0.10883392183085856,0.7663927778429741,0.6586909279543951,0.7071567604042557,normal,TRUE,0.1640625,watch
202506,2025-06-01T00:00:00Z,基隆港,24911.186700914324,88331.04501698673,0.2845401503363956,0.9954083629651924,1.1538806020867827,1.082568094482067,watch,TRUE,0.2808849350345312,high
202506,2025-06-01T00:00:00Z,高雄港,78629.18833664105,508784.5140113956,0.1537596368736496,0.9668027015649656,1.0972040062477193,1.0385234191404802,watch,TRUE,0.15984744372356632,high
202506,2025-06-01T00:00:00Z,臺中港,10828.294659322382,83150.76785556065,0.14308435240032683,0.8086826118365208,0.8237934220856604,0.8169935574735476,normal,TRUE,0.15048981911799125,normal
202506,2025-06-01T00:00:00Z,臺北港,7342.20248837795,70809.85551568605,0.11379409081388962,0.7220080400483928,0.6887111482614516,0.7036947495655752,normal,TRUE,0.1453660233002956,normal
202507,2025-07-01T00:00:00Z,基隆港,24595.185981742776,87604.3773844678,0.28316739100315885,0.9872194975627018,1.148313723865615,1.075821322029304,watch,TRUE,0.2726009982107543,high
202507,2025-07-01T00:00:00Z,高雄港,72501.0334084935,481125.03714181506,0.14941184581458067,0.9142435999709553,1.0661788694476209,0.9978079981831214,watch,TRUE,0.15112695006771373,watch
202507,2025-07-01T00:00:00Z,臺中港,10721.42349709466,82676.64954252273,0.14569308989493038,0.8040715752147899,0.8388129595259943,0.8231793365859523,normal,TRUE,0.1655844544095665,watch
202507,2025-07-01T00:00:00Z,臺北港,6904.330408667745,69316.38386782262,0.11267102242434679,0.7067799545017014,0.6819140490921881,0.6931037065264691,normal,TRUE,0.14727251458948,normal
202508,2025-08-01T00:00:00Z,基隆港,24622.32329969264,91081.70763994358,0.2744840184611787,1.0264057611965898,1.1131005030774823,1.074087869231081,watch,TRUE,0.26580774643013677,watch
202508,2025-08-01T00:00:00Z,高雄港,78642.2402334191,511806.658827962,0.15298790733568424,0.9725454427308485,1.0916970685492966,1.038078836930995,watch,TRUE,0.15864695583866426,high
202508,2025-08-01T00:00:00Z,臺中港,11077.928878674215,84728.54453195813,0.14507509056085427,0.824027275469456,0.8352548920104016,0.8302024645669761,normal,TRUE,0.1407467245042493,normal
202508,2025-08-01T00:00:00Z,臺北港,5817.415891751578,68883.09105176592,0.10265948783212335,0.7023619127671178,0.6213216630064614,0.6577897753987568,normal,TRUE,0.11897258328486604,normal
