年月,港口別,總計,進港,出港
200505,國際商港,1119418,558382.5,561035.5
200505,基隆港,181862,92327.25,89534.75
200505,臺中港,106150,51602,54548
200505,高雄港,831004,414248.25,416755.75
200505,花蓮港,0,0,0
200505,臺北港,0,0,0
200505,蘇澳港,0,0,0
200505,安平港,402,205,197
200506,國際商港,1120578.25,552082.5,568495.75
200506,基隆港,181588,94467.25,87120.75
200506,臺中港,107298,51086,56212
200506,高雄港,831084.25,406242.25,424842
200506,花蓮港,0,0,0
200506,臺北港,0,0,0
200506,蘇澳港,0,0,0
200506,安平港,608,287,321
200507,國際商港,1039317.5,518965.75,520351.75
200507,基隆港,168313.25,86774,81539.25
200507,臺中港,99300,46460,52840
200507,高雄港,771483.25,385598.75,385884.5
200507,花蓮港,0,0,0
200507,臺北港,0,0,0
200507,蘇澳港,0,0,0
200507,安平港,221,133,88
200508,國際商港,1091605.5,546694.5,544911
200508,基隆港,171906,89031,82875
200508,臺中港,99768,48390,51378
200508,高雄港,819503.5,409082.5,410421
200508,花蓮港,0,0,0
200508,臺北港,0,0,0
200508,蘇澳港,0,0,0
200508,安平港,428,191,237
200509,國際商港,1045886.75,519755.75,526131
200509,基隆港,171183.25,87416.75,83766.5
200509,臺中港,100373,48633,51740
200509,高雄港,773875.5,383470,390405.5
200509,花蓮港,0,0,0
200509,臺北港,0,0,0
200509,蘇澳港,0,0,0
200509,安平港,455,236,219
200510,國際商港,1076035,538941.75,537093.25
200510,基隆港,187183.75,96767,90416.75
200510,臺中港,106920,50679,56241
200510,高雄港,781452.25,391280.75,390171.5
200510,花蓮港,0,0,0
200510,臺北港,0,0,0
200510,蘇澳港,0,0,0
200510,安平港,479,215,264
200511,國際商港,1058036,542468.75,515567.25
200511,基隆港,181889.75,95761.25,86128.5
200511,臺中港,105181,52390,52791
200511,高雄港,770523.25,394117.5,376405.75
200511,花蓮港,0,0,0
200511,臺北港,0,0,0
200511,蘇澳港,0,0,0
200511,安平港,442,200,242
200512,國際商港,1075250.5,546398.25,528852.25
200512,基隆港,188121.75,101885.75,86236
200512,臺中港,103412,48973,54439
200512,高雄港,783157.75,395232.5,387925.25
200512,花蓮港,0,0,0
200512,臺北港,0,0,0
200512,蘇澳港,0,0,0
200512,安平港,559,307,252
200601,國際商港,1032343.25,517112.75,515230.5
200601,基隆港,168201.75,85954,82247.75
200601,臺中港,95218,47209,48009
200601,高雄港,768458.5,383673.75,384784.75
200601,花蓮港,0,0,0
200601,臺北港,0,0,0
200601,蘇澳港,0,0,0
200601,安平港,465,276,189
200602,國際商港,924127.5,464970.5,459157
200602,基隆港,153662.5,81213,72449.5
200602,臺中港,85093,38925,46168
200602,高雄港,684897,344602.5,340294.5
200602,花蓮港,0,0,0
200602,臺北港,0,0,0
200602,蘇澳港,0,0,0
200602,安平港,475,230,245
200603,國際商港,1123166,556507.5,566658.5
200603,基隆港,178491,91562.25,86928.75
200603,臺中港,107089,50181,56908
200603,高雄港,837146,414564.25,422581.75
200603,花蓮港,0,0,0
200603,臺北港,0,0,0
200603,蘇澳港,0,0,0
200603,安平港,440,200,240
200604,國際商港,1100366.5,545166.5,555200
200604,基隆港,184174.75,94596.5,89578.25
200604,臺中港,104287,48799,55488
200604,高雄港,811208.75,401396,409812.75
200604,花蓮港,0,0,0
200604,臺北港,0,0,0
200604,蘇澳港,0,0,0
