年月,港口別,總計,進港,出港
201702,臺北港,123958.5,59912,64046.5
201702,蘇澳港,0,0,0
201702,安平港,0,0,0
201703,國際商港,1332725,664721,668004
201703,基隆港,121247.25,66884.25,54363
201703,臺中港,141605,69266,72339
201703,高雄港,935696.5,463852.25,471844.25
201703,花蓮港,0,0,0
201703,臺北港,134176.25,64718.5,69457.75
201703,蘇澳港,0,0,0
201703,安平港,0,0,0
201704,國際商港,1223969,606674.75,617294.25
201704,基隆港,117988.5,63401.75,54586.75
201704,臺中港,136622,65016,71606
201704,高雄港,844225.5,417752,426473.5
201704,花蓮港,0,0,0
201704,臺北港,125133,60505,64628
201704,蘇澳港,0,0,0
201704,安平港,0,0,0
201705,國際商港,1276023.25,633416.25,642607
201705,基隆港,123734.75,66837.25,56897.5
201705,臺中港,140885,68093,72792
201705,高雄港,878065.75,433546.25,444519.5
201705,花蓮港,0,0,0
201705,臺北港,133337.75,64939.75,68398
201705,蘇澳港,0,0,0
201705,安平港,0,0,0
201706,國際商港,1223549.5,608891.5,614658
201706,基隆港,121669.5,64797,56872.5
201706,臺中港,134291,64019,70272
201706,高雄港,840554.75,420303.5,420251.25
201706,花蓮港,0,0,0
201706,臺北港,127034.25,59772,67262.25
201706,蘇澳港,0,0,0
201706,安平港,0,0,0
201707,國際商港,1180396,584395,596001
201707,基隆港,117996.25,61970.25,56026
201707,臺中港,136120,64324,71796
201707,高雄港,801508.75,397534.5,403974.25
201707,花蓮港,0,0,0
201707,臺北港,124771,60566.25,64204.75
201707,蘇澳港,0,0,0
201707,安平港,0,0,0
201708,國際商港,1254177.75,623945.75,630232
201708,基隆港,120573.25,65636.5,54936.75
201708,臺中港,144680,70147,74533
201708,高雄港,866780.25,429309.5,437470.75
201708,花蓮港,0,0,0
201708,臺北港,122144.25,58852.75,63291.5
201708,蘇澳港,0,0,0
201708,安平港,0,0,0
201709,國際商港,1219313.25,614469.75,604843.5
201709,基隆港,119461.75,64125.75,55336
201709,臺中港,132902,65056,67846
201709,高雄港,832340.75,421026,411314.75
201709,花蓮港,0,0,0
201709,臺北港,134608.75,64262,70346.75
201709,蘇澳港,0,0,0
201709,安平港,0,0,0
201710,國際商港,1199248.5,604596,594652.5
201710,基隆港,114594.5,63672,50922.5
201710,臺中港,139813,67478,72335
201710,高雄港,828788,417240,411548
201710,花蓮港,0,0,0
201710,臺北港,116053,56206,59847
201710,蘇澳港,0,0,0
201710,安平港,0,0,0
201711,國際商港,1273217.5,640032,633185.5
201711,基隆港,127474.25,68529.25,58945
201711,臺中港,143427,69758,73669
201711,高雄港,860840.25,431478,429362.25
201711,花蓮港,0,0,0
201711,臺北港,141476,70266.75,71209.25
201711,蘇澳港,0,0,0
201711,安平港,0,0,0
201712,國際商港,1330015.25,682847,647168.25
201712,基隆港,126882.25,71487,55395.25
201712,臺中港,156693,79563,77130
201712,高雄港,901421.25,460931,440490.25
201712,花蓮港,0,0,0
201712,臺北港,145018.75,70866,74152.75
201712,蘇澳港,0,0,0
201712,安平港,0,0,0
201801,國際商港,1324283.5,657579.75,666703.75
201801,基隆港,127670.75,67107.5,60563.25
201801,臺中港,144097.5,70180.75,73916.75
201801,高雄港,900411.25,447083.5,453327.75
201801,花蓮港,0,0,0
201801,臺北港,152104,73208,78896
201801,蘇澳港,0,0,0
201801,安平港,0,0,0
201802,國際商港,1080473.75,543190.75,537283
201802,基隆港,99206.5,54749,44457.5
201802,臺中港,108537.25,54065,54472.25
201802,高雄港,750452,374697.25,375754.75
201802,花蓮港,0,0,0
201802,臺北港,122278,59679.5,62598.5
201802,蘇澳港,0,0,0
201802,安平港,0,0,0
201803,國際商港,1322762.25,659946,662816.25
201803,基隆港,119784,64637.75,55146.25
201803,臺中港,149447.75,68631.75,80816
201803,高雄港,910560.5,458975.25,451585.25
201803,花蓮港,0,0,0
201803,臺北港,142970,67701.25,75268.75
201803,蘇澳港,0,0,0
201803,安平港,0,0,0
201804,國際商港,1246022.5,639154.75,606867.75
201804,基隆港,116861.5,63858.25,53003.25
201804,臺中港,144353.75,71875.25,72478.5
201804,高雄港,852627.5,439451.5,413176
201804,花蓮港,0,0,0
201804,臺北港,132179.75,63969.75,68210
201804,蘇澳港,0,0,0
201804,安平港,0,0,0
201805,國際商港,1340418.25,665298.5,675119.75
201805,基隆港,132959.25,70584.5,62374.75
201805,臺中港,158364,79614.5,78749.5
201805,高雄港,904934.5,446541.25,458393.25
201805,花蓮港,0,0,0
201805,臺北港,144160.5,68558.25,75602.25
201805,蘇澳港,0,0,0
201805,安平港,0,0,0
201806,國際商港,1274943.5,638493.75,636449.75
201806,基隆港,127435,66251.5,61183.5
201806,臺中港,148160.75,72912,75248.75
201806,高雄港,864817.5,433675.5,431142
201806,花蓮港,0,0,0
201806,臺北港,134530.25,65654.75,68875.5
201806,蘇澳港,0,0,0
201806,安平港,0,0,0
201807,國際商港,1297878,654616.75,643261.25
201807,基隆港,124962.25,64436.25,60526
201807,臺中港,149531.75,73777.5,75754.25
201807,高雄港,886237.5,448663,437574.5
201807,花蓮港,0,0,0
201807,臺北港,137146.5,67740,69406.5
201807,蘇澳港,0,0,0
201807,安平港,0,0,0
201808,國際商港,1273739.75,622034.25,651705.5
201808,基隆港,120692.5,62989.75,57702.75
201808,臺中港,141297.25,68485,72812.25
201808,高雄港,878544.5,428501.25,450043.25
201808,花蓮港,0,0,0
201808,臺北港,133205.5,62058.25,71147.25
201808,蘇澳港,0,0,0
201808,安平港,0,0,0
201809,國際商港,1233540,622464.75,611075.25
201809,基隆港,121386.25,66133.5,55252.75
201809,臺中港,147189.5,70648.75,76540.75
201809,高雄港,829373.5,419992,409381.5
201809,花蓮港,0,0,0
201809,臺北港,135584.75,65684.5,69900.25
201809,蘇澳港,6,6,0
201809,安平港,0,0,0
201810,國際商港,1288605.5,646215.25,642390.25
201810,基隆港,123052.5,66880,56172.5
201810,臺中港,146627.5,70798.75,75828.75
201810,高雄港,871061.75,435555.5,435506.25
201810,花蓮港,0,0,0
201810,臺北港,147863.75,72981,74882.75
201810,蘇澳港,0,0,0
201810,安平港,0,0,0
201811,國際商港,1337973.25,672890,665083.25
201811,基隆港,128272,70214.75,58057.25
201811,臺中港,151116.5,75973,75143.5
201811,高雄港,919657,461596.25,458060.75
201811,花蓮港,0,0,0
201811,臺北港,138927.75,65106,73821.75
201811,蘇澳港,0,0,0
201811,安平港,0,0,0
201812,國際商港,1301081.25,649972.5,651108.75
201812,基隆港,129582,71937.25,57644.75
201812,臺中港,155402.75,75041,80361.75
201812,高雄港,877048.25,435668,441380.25
201812,花蓮港,0,0,0
201812,臺北港,139048.25,67326.25,71722
201812,蘇澳港,0,0,0
201812,安平港,0,0,0
201901,國際商港,1329397,675970.25,653426.75
201901,基隆港,131887.75,73107.75,58780
201901,臺中港,146955.5,75234.75,71720.75
201901,高雄港,907807.75,457967.5,449840.25
201901,花蓮港,0,0,0
201901,臺北港,142746,69660.25,73085.75
201901,蘇澳港,0,0,0
201901,安平港,0,0,0
201902,國際商港,1057769.5,511471.5,546298
201902,基隆港,78934.5,38956.25,39978.25
201902,臺中港,112216.5,51241.75,60974.75
201902,高雄港,741785.5,360206.75,381578.75
201902,花蓮港,0,0,0
201902,臺北港,124833,61066.75,63766.25
201902,蘇澳港,0,0,0
201902,安平港,0,0,0
201903,國際商港,1337022.5,675775.75,661246.75
201903,基隆港,118895.5,67531.5,51364
201903,臺中港,153445.25,73635.75,79809.5
201903,高雄港,912663.5,463703,448960.5
201903,花蓮港,0,0,0
201903,臺北港,152018.25,70905.5,81112.75
201903,蘇澳港,0,0,0
201903,安平港,0,0,0
201904,國際商港,1276777,650630,626147
201904,基隆港,115139.75,64687,50452.75
201904,臺中港,146321.75,73671.25,72650.5
201904,高雄港,881962,447421.75,434540.25
201904,花蓮港,0,0,0
201904,臺北港,133353.5,64850,68503.5
201904,蘇澳港,0,0,0
201904,安平港,0,0,0
201905,國際商港,1323741.75,656379.75,667362
201905,基隆港,125014.5,66339.5,58675
201905,臺中港,161898.75,81542.5,80356.25
201905,高雄港,895415.75,440829.75,454586
201905,花蓮港,0,0,0
201905,臺北港,141406.75,67662,73744.75
201905,蘇澳港,6,6,0
201905,安平港,0,0,0
201906,國際商港,1264384.5,629256,635128.5
201906,基隆港,125056.75,67738,57318.75
201906,臺中港,151626,72501.5,79124.5
201906,高雄港,861115,428254,432861
201906,花蓮港,0,0,0
201906,臺北港,126586.75,60762.5,65824.25
201906,蘇澳港,0,0,0
201906,安平港,0,0,0
201907,國際商港,1305304,646469.25,658834.75
201907,基隆港,132969,69836.5,63132.5
201907,臺中港,153191,73221.5,79969.5
201907,高雄港,884299.25,437566.5,446732.75
201907,花蓮港,0,0,0
201907,臺北港,134844.75,65844.75,69000
201907,蘇澳港,0,0,0
201907,安平港,0,0,0
201908,國際商港,1261365.25,633033.75,628331.5
201908,基隆港,118287,64073.5,54213.5
201908,臺中港,152795.5,73328.75,79466.75
201908,高雄港,859350,434408.5,424941.5
201908,花蓮港,0,0,0
201908,臺北港,130932.75,61223,69709.75
201908,蘇澳港,0,0,0
201908,安平港,0,0,0
201909,國際商港,1236680.25,633030.5,603649.75
201909,基隆港,117545,64739,52806
201909,臺中港,148378,75202.25,73175.75
201909,高雄港,846260.75,433090,413170.75
201909,花蓮港,0,0,0
201909,臺北港,124496.5,59999.25,64497.25
201909,蘇澳港,0,0,0
201909,安平港,0,0,0
201910,國際商港,1292424.5,650994,641430.5
201910,基隆港,127985.75,70308.5,57677.25
201910,臺中港,149073.5,71125.25,77948.25
201910,高雄港,870621.5,437151.75,433469.75
201910,花蓮港,0,0,0
201910,臺北港,144743.75,72408.5,72335.25
201910,蘇澳港,0,0,0
201910,安平港,0,0,0
201911,國際商港,1268801.75,639978.75,628823
201911,基隆港,127072.5,69895.25,57177.25
201911,臺中港,155741.75,74466.75,81275
201911,高雄港,856162.25,433177.5,422984.75
201911,花蓮港,0,0,0
201911,臺北港,129825.25,62439.25,67386
201911,蘇澳港,0,0,0
201911,安平港,0,0,0
201912,國際商港,1344622.5,683764.25,660858.25
201912,基隆港,136505,75296,61209
201912,臺中港,162322,79755.5,82566.5
201912,高雄港,911191,461693,449498
201912,花蓮港,0,0,0
201912,臺北港,134604.5,67019.75,67584.75
201912,蘇澳港,0,0,0
201912,安平港,0,0,0
202001,國際商港,1235374.5,620644.25,614730.25
202001,基隆港,112694.25,61091.25,51603
202001,臺中港,141503.5,73940,67563.5
202001,高雄港,851717.5,423527,428190.5
202001,花蓮港,0,0,0
202001,臺北港,129454.25,62081,67373.25
202001,蘇澳港,5,5,0
202001,安平港,0,0,0
202002,國際商港,1137999,558892,579107
202002,基隆港,85842,43366,42476
202002,臺中港,134115.75,61896.25,72219.5
202002,高雄港,794858.25,395530,399328.25
202002,花蓮港,0,0,0
202002,臺北港,123183,58099.75,65083.25
202002,蘇澳港,0,0,0
202002,安平港,0,0,0
202003,國際商港,1304125,655492.5,648632.5
202003,基隆港,120963.75,67936.75,53027
202003,臺中港,162130,80860,81270
202003,高雄港,876737.25,435599.75,441137.5
202003,花蓮港,0,0,0
202003,臺北港,144294,71096,73198
202003,蘇澳港,0,0,0
202003,安平港,0,0,0
202004,國際商港,1173593.5,602994,570599.5
202004,基隆港,135464.75,76743,58721.75
202004,臺中港,147914.25,77082.25,70832
202004,高雄港,765543.5,383910.25,381633.25
202004,花蓮港,0,0,0
202004,臺北港,124671,65258.5,59412.5
202004,蘇澳港,0,0,0
202004,安平港,0,0,0
202005,國際商港,1210350.5,603508,606842.5
202005,基隆港,130171.25,70116.25,60055
202005,臺中港,145791.5,70063.75,75727.75
202005,高雄港,815396.5,403752.75,411643.75
202005,花蓮港,0,0,0
202005,臺北港,118991.25,59575.25,59416
202005,蘇澳港,0,0,0
202005,安平港,0,0,0
202006,國際商港,1154696.25,578037.5,576658.75
202006,基隆港,131470.75,69665.5,61805.25
202006,臺中港,141272,69270,72002
202006,高雄港,744276.25,372088.5,372187.75
202006,花蓮港,0,0,0
202006,臺北港,137677.25,67013.5,70663.75
202006,蘇澳港,0,0,0
202006,安平港,0,0,0
202007,國際商港,1212765.5,591632.75,621132.75
202007,基隆港,138412.25,70157.5,68254.75
202007,臺中港,152577.25,74656,77921.25
202007,高雄港,785147,384046.25,401100.75
202007,花蓮港,0,0,0
202007,臺北港,136629,62773,73856
202007,蘇澳港,0,0,0
202007,安平港,0,0,0
202008,國際商港,1230604,594703.75,635900.25
202008,基隆港,138281.25,68916.75,69364.5
202008,臺中港,156998.75,73197,83801.75
202008,高雄港,803929.75,392081.25,411848.5
202008,花蓮港,0,0,0
202008,臺北港,131394.25,60508.75,70885.5
202008,蘇澳港,0,0,0
202008,安平港,0,0,0
202009,國際商港,1185324.5,597160.25,588164.25
202009,基隆港,139595.75,72681,66914.75
202009,臺中港,150863.25,75018.5,75844.75
202009,高雄港,766081.5,386560.25,379521.25
202009,花蓮港,0,0,0
202009,臺北港,128784,62900.5,65883.5
202009,蘇澳港,0,0,0
202009,安平港,0,0,0
202010,國際商港,1221854.5,604690,617164.5
202010,基隆港,124357,67340,57017
202010,臺中港,162513,77037.5,85475.5
202010,高雄港,792259,392279.75,399979.25
202010,花蓮港,0,0,0
202010,臺北港,142725.5,68032.75,74692.75
202010,蘇澳港,0,0,0
202010,安平港,0,0,0
202011,國際商港,1226348.25,620387.5,605960.75
202011,基隆港,139596.75,71942.25,67654.5
202011,臺中港,161776.25,79086.5,82689.75
202011,高雄港,782596.5,400215.25,382381.25
202011,花蓮港,0,0,0
202011,臺北港,142378.75,69143.5,73235.25
202011,蘇澳港,0,0,0
202011,安平港,0,0,0
202012,國際商港,1300541.5,663200,637341.5
202012,基隆港,135942.5,74167.5,61775
202012,臺中港,163530.75,80938.5,82592.25
202012,高雄港,843119.25,430168.25,412951
202012,花蓮港,0,0,0
202012,臺北港,157949,77925.75,80023.25
202012,蘇澳港,0,0,0
202012,安平港,0,0,0
202101,國際商港,1308883.25,654884,653999.25
202101,基隆港,136792.5,73343.5,63449
202101,臺中港,172088,85756.5,86331.5
202101,高雄港,833101.75,413528.75,419573
202101,花蓮港,0,0,0
202101,臺北港,166901,82255.25,84645.75
202101,蘇澳港,0,0,0
202101,安平港,0,0,0
202102,國際商港,1118266.75,561084,557182.75
202102,基隆港,101410.75,53725.5,47685.25
202102,臺中港,135546.25,67801.75,67744.5
202102,高雄港,738527.75,370022,368505.75
202102,花蓮港,0,0,0
202102,臺北港,142782,69534.75,73247.25
202102,蘇澳港,0,0,0
202102,安平港,0,0,0
202103,國際商港,1343210.75,676908.75,666302
202103,基隆港,134496,73260.5,61235.5
202103,臺中港,169839.25,82887.25,86952
202103,高雄港,864491.5,435929.5,428562
202103,花蓮港,0,0,0
202103,臺北港,174384,84831.5,89552.5
202103,蘇澳港,0,0,0
202103,安平港,0,0,0
202104,國際商港,1303949,661692.75,642256.25
202104,基隆港,135543.5,74151,61392.5
202104,臺中港,166514.5,84523.75,81990.75
202104,高雄港,821201.25,413368.5,407832.75
202104,花蓮港,0,0,0
202104,臺北港,180689.75,89649.5,91040.25
202104,蘇澳港,0,0,0
202104,安平港,0,0,0
202105,國際商港,1341335.25,665077,676258.25
202105,基隆港,141106.25,74128.25,66978
202105,臺中港,171806.5,84102.5,87704
202105,高雄港,849307,422615,426692
202105,花蓮港,0,0,0
202105,臺北港,179108.5,84224.25,94884.25
202105,蘇澳港,0,0,0
202105,安平港,7,7,0
202106,國際商港,1301543,659899.25,641643.75
202106,基隆港,127009,67995.75,59013.25
202106,臺中港,162289.75,82702,79587.75
202106,高雄港,839225.25,423826.5,415398.75
202106,花蓮港,0,0,0
202106,臺北港,173019,85375,87644
202106,蘇澳港,0,0,0
202106,安平港,0,0,0
202107,國際商港,1303569.5,660423.75,643145.75
202107,基隆港,128507.5,68486.5,60021
202107,臺中港,168625,82953.25,85671.75
202107,高雄港,835070.25,424156.25,410914
202107,花蓮港,0,0,0
202107,臺北港,171366.75,84827.75,86539
202107,蘇澳港,0,0,0
202107,安平港,0,0,0
202108,國際商港,1303916.25,656325.25,647591
202108,基隆港,141282.5,73246.25,68036.25
202108,臺中港,173431.5,84701.25,88730.25
202108,高雄港,831667.25,421760.25,409907
202108,花蓮港,0,0,0
202108,臺北港,157499,76581.5,80917.5
202108,蘇澳港,0,0,0
202108,安平港,36,36,0
202109,國際商港,1270336,633588.75,636747.25
202109,基隆港,132655.25,69475.75,63179.5
202109,臺中港,155801.25,77964.25,77837
202109,高雄港,809207.5,401535.5,407672
202109,花蓮港,0,0,0
202109,臺北港,172636,84613.25,88022.75
202109,蘇澳港,0,0,0
202109,安平港,36,0,36
202110,國際商港,1268158.25,634302.75,633855.5
202110,基隆港,125771.5,66234,59537.5
202110,臺中港,171235.75,83117.75,88118
202110,高雄港,810007.5,407606.25,402401.25
202110,花蓮港,0,0,0
202110,臺北港,161135.5,77344.75,83790.75
202110,蘇澳港,0,0,0
202110,安平港,8,0,8
202111,國際商港,1296854.5,657746.25,639108.25
202111,基隆港,144175.25,77743.75,66431.5
202111,臺中港,159802.25,79710.5,80091.75
202111,高雄港,825778.75,417092.5,408686.25
202111,花蓮港,0,0,0
202111,臺北港,167034.25,83183.5,83850.75
202111,蘇澳港,0,0,0
202111,安平港,64,16,48
202112,國際商港,1294615.5,649715.25,644900.25
202112,基隆港,152641.75,82799.75,69842
202112,臺中港,172314.5,87704.5,84610
202112,高雄港,806852.75,399190,407662.75
202112,花蓮港,0,0,0
202112,臺北港,162576.5,79881,82695.5
202112,蘇澳港,0,0,0
202112,安平港,230,140,90
202201,國際商港,1272871,640401.25,632469.75
202201,基隆港,141752.75,74413.25,67339.5
202201,臺中港,156203.25,76686.5,79516.75
202201,高雄港,827333.5,420713,406620.5
202201,花蓮港,0,0,0
202201,臺北港,147581.5,68588.5,78993
202201,蘇澳港,0,0,0
202201,安平港,0,0,0
202202,國際商港,1088649,528877,559772
202202,基隆港,105677.5,51733.25,53944.25
202202,臺中港,135154.75,64154.75,71000
202202,高雄港,716441.25,346474.25,369967
202202,花蓮港,0,0,0
202202,臺北港,131227.5,66458.75,64768.75
202202,蘇澳港,0,0,0
202202,安平港,148,56,92
202203,國際商港,1324927.75,671539.5,653388.25
202203,基隆港,139876.25,75447.75,64428.5
202203,臺中港,170239.25,83636.25,86603
202203,高雄港,861825.25,436845.75,424979.5
202203,花蓮港,0,0,0
202203,臺北港,152740,75461.75,77278.25
202203,蘇澳港,0,0,0
202203,安平港,247,148,99
202204,國際商港,1260426.5,634443.25,625983.25
202204,基隆港,133490.75,69698.5,63792.25
202204,臺中港,155956.5,80202,75754.5
202204,高雄港,808255,405750,402505
202204,花蓮港,0,0,0
202204,臺北港,162638.25,78768.75,83869.5
202204,蘇澳港,0,0,0
202204,安平港,86,24,62
202205,國際商港,1257838.25,625182,632656.25
202205,基隆港,139913.25,74173.75,65739.5
202205,臺中港,161077.75,77375.75,83702
202205,高雄港,796433.5,394668.5,401765
202205,花蓮港,0,0,0
202205,臺北港,160254.75,78917,81337.75
202205,蘇澳港,0,0,0
202205,安平港,159,47,112
202206,國際商港,1321133.25,667976.25,653157
202206,基隆港,147384.5,77762.75,69621.75
202206,臺中港,154846.5,78872,75974.5
202206,高雄港,871635.25,437139.5,434495.75
202206,花蓮港,0,0,0
202206,臺北港,147170,74165,73005
202206,蘇澳港,0,0,0
202206,安平港,97,37,60
202207,國際商港,1307538,642421.5,665116.5
202207,基隆港,152507.25,79266.75,73240.5
202207,臺中港,153511.75,72982.25,80529.5
202207,高雄港,844323.25,414479.25,429844
202207,花蓮港,0,0,0
202207,臺北港,157040.75,75612.25,81428.5
202207,蘇澳港,0,0,0
202207,安平港,155,81,74
202208,國際商港,1241056.25,610391.75,630664.5
202208,基隆港,140352,72164.25,68187.75
202208,臺中港,148348.75,68636,79712.75
202208,高雄港,801205.75,393745,407460.75
202208,花蓮港,0,0,0
202208,臺北港,150871.75,75710.5,75161.25
202208,蘇澳港,0,0,0
202208,安平港,278,136,142
202209,國際商港,1111592.5,551004.5,560588
202209,基隆港,122447.25,67187,55260.25
202209,臺中港,130293.25,63735,66558.25
202209,高雄港,724665,353259,371406
202209,花蓮港,0,0,0
202209,臺北港,133943,66699.5,67243.5
202209,蘇澳港,0,0,0
202209,安平港,244,124,120
202210,國際商港,1132119,567705.75,564413.25
202210,基隆港,125854.5,65628.75,60225.75
202210,臺中港,128819,61584,67235
202210,高雄港,734644.25,371768.5,362875.75
202210,花蓮港,0,0,0
202210,臺北港,142709.25,68684.5,74024.75
202210,蘇澳港,0,0,0
202210,安平港,92,40,52
202211,國際商港,1190596.25,603552.75,587043.5
202211,基隆港,136038.25,74237.25,61801
202211,臺中港,149203.25,72830.25,76373
202211,高雄港,748404.75,376959.5,371445.25
202211,花蓮港,0,0,0
202211,臺北港,156721,79467.75,77253.25
202211,蘇澳港,0,0,0
202211,安平港,229,58,171
202212,國際商港,1183048.25,603239.5,579808.75
202212,基隆港,137412,73038.25,64373.75
202212,臺中港,141711,71283,70428
202212,高雄港,756448.25,384205.25,372243
202212,花蓮港,0,0,0
202212,臺北港,147100,74622,72478
202212,蘇澳港,0,0,0
202212,安平港,377,91,286
202301,國際商港,1054319.25,511873,542446.25
202301,基隆港,107162,54862.75,52299.25
202301,臺中港,114341.5,56900.25,57441.25
202301,高雄港,691458,333059.75,358398.25
202301,花蓮港,0,0,0
202301,臺北港,141083.75,66930.25,74153.5
202301,蘇澳港,0,0,0
202301,安平港,274,120,154
202302,國際商港,1028129.5,504176,523953.5
202302,基隆港,109589,58672.25,50916.75
202302,臺中港,128235.5,57129.75,71105.75
202302,高雄港,648735,320080,328655
202302,花蓮港,0,0,0
202302,臺北港,141450,68234,73216
202302,蘇澳港,0,0,0
202302,安平港,120,60,60
202303,國際商港,1201004.75,616102.5,584902.25
202303,基隆港,135834,73736.75,62097.25
202303,臺中港,140377,73288.5,67088.5
202303,高雄港,771609.5,390330,381279.5
202303,花蓮港,0,0,0
202303,臺北港,152864.25,78586.25,74278
202303,蘇澳港,0,0,0
202303,安平港,320,161,159
202304,國際商港,1127738.25,576567.75,551170.5
202304,基隆港,130960.5,70189.5,60771
202304,臺中港,130469,65916.5,64552.5
202304,高雄港,715763.5,365023.75,350739.75
202304,花蓮港,0,0,0
202304,臺北港,150253.25,75270,74983.25
202304,蘇澳港,0,0,0
202304,安平港,292,168,124
202305,國際商港,1210399.5,604546.75,605852.75
202305,基隆港,134147.75,67616.75,66531
202305,臺中港,134163.25,66876,67287.25
202305,高雄港,788224.75,391405.25,396819.5
202305,花蓮港,0,0,0
202305,臺北港,153685.75,78536.75,75149
202305,蘇澳港,0,0,0
202305,安平港,178,112,66
202306,國際商港,1112241.5,551427,560814.5
202306,基隆港,124470.5,67114.75,57355.75
202306,臺中港,130725.75,64818.75,65907
202306,高雄港,723943.75,354163.75,369780
202306,花蓮港,0,0,0
202306,臺北港,132922.5,65221.75,67700.75
202306,蘇澳港,0,0,0
202306,安平港,179,108,71
202307,國際商港,1090907,544166,546741
202307,基隆港,131592,65689.75,65902.25
202307,臺中港,133118,63683.25,69434.75
202307,高雄港,690021,347398.75,342622.25
202307,花蓮港,0,0,0
202307,臺北港,136096,67354.25,68741.75
202307,蘇澳港,0,0,0
202307,安平港,80,40,40
202308,國際商港,1168728.25,579692.75,589035.5
202308,基隆港,130541,67675.25,62865.75
202308,臺中港,142866.25,70412,72454.25
202308,高雄港,767125.75,378092,389033.75
202308,花蓮港,0,0,0
202308,臺北港,127972.25,63358.5,64613.75
202308,蘇澳港,0,0,0
202308,安平港,223,155,68
202309,國際商港,1166588.25,599812.75,566775.5
202309,基隆港,128210.5,68473.75,59736.75
202309,臺中港,137393.5,70097,67296.5
202309,高雄港,784525.75,403234.75,381291
202309,花蓮港,0,0,0
202309,臺北港,116354.5,57971.25,58383.25
202309,蘇澳港,0,0,0
202309,安平港,104,36,68
202310,國際商港,1123593.75,562397.75,561196
202310,基隆港,126601.25,66122.25,60479
202310,臺中港,134670.25,66439,68231.25
202310,高雄港,743452.75,370375,373077.75
202310,花蓮港,0,0,0
202310,臺北港,118707.5,59377.5,59330
202310,蘇澳港,0,0,0
202310,安平港,162,84,78
202311,國際商港,1139267.5,572239,567028.5
202311,基隆港,133282.25,70043.5,63238.75
202311,臺中港,140433.25,70324.5,70108.75
202311,高雄港,742462,372515,369947
202311,花蓮港,0,0,0
202311,臺北港,122984,59336,63648
202311,蘇澳港,0,0,0
202311,安平港,106,20,86
202312,國際商港,1174070.25,592361,581709.25
202312,基隆港,140730.5,72753.25,67977.25
202312,臺中港,143405.5,72374,71031.5
202312,高雄港,766508.25,385132,381376.25
202312,花蓮港,0,0,0
202312,臺北港,123340,62063.75,61276.25
202312,蘇澳港,0,0,0
202312,安平港,86,38,48
202401,國際商港,1163194,574977.75,588216.25
202401,基隆港,145453.5,75130,70323.5
202401,臺中港,144215.75,70156.75,74059
202401,高雄港,747097.75,368985.25,378112.5
202401,花蓮港,0,0,0
202401,臺北港,126325,60633.75,65691.25
202401,蘇澳港,0,0,0
202401,安平港,102,72,30
202402,國際商港,987656.25,485580.75,502075.5
202402,基隆港,95208,46672.75,48535.25
202402,臺中港,110313,54602,55711
202402,高雄港,687136.5,338377.25,348759.25
202402,花蓮港,0,0,0
202402,臺北港,94750.75,45786.75,48964
202402,蘇澳港,0,0,0
202402,安平港,248,142,106
202403,國際商港,1227233,611853.25,615379.75
202403,基隆港,134350.75,70400.25,63950.5
202403,臺中港,152522.75,75885.5,76637.25
202403,高雄港,817858.5,404461.5,413397
202403,花蓮港,0,0,0
202403,臺北港,122427,61050,61377
202403,蘇澳港,0,0,0
202403,安平港,74,56,18
202404,國際商港,1141616.75,580791.5,560825.25
202404,基隆港,139105.5,74097.5,65008
202404,臺中港,133583,68024.25,65558.75
202404,高雄港,756733,382303.75,374429.25
202404,花蓮港,0,0,0
202404,臺北港,112145.25,56324,55821.25
202404,蘇澳港,0,0,0
202404,安平港,50,42,8
202405,國際商港,1200529.25,603815.25,596714
202405,基隆港,145889.75,73853,72036.75
202405,臺中港,136394.5,66671.25,69723.25
202405,高雄港,796147,402915.5,393231.5
202405,花蓮港,0,0,0
202405,臺北港,122022,60357.5,61664.5
202405,蘇澳港,0,0,0
202405,安平港,76,18,58
202406,國際商港,1229509.25,621654.75,607854.5
202406,基隆港,146736.25,75503.25,71233
202406,臺中港,145490.25,73139.5,72350.75
202406,高雄港,815094.25,413147,401947.25
202406,花蓮港,0,0,0
202406,臺北港,122092.5,59817,62275.5
202406,蘇澳港,0,0,0
202406,安平港,96,48,48
202407,國際商港,1107781.75,565362,542419.75
202407,基隆港,137796.75,71633.25,66163.5
202407,臺中港,135853.75,69282.5,66571.25
202407,高雄港,719522.5,364047.25,355475.25
202407,花蓮港,0,0,0
202407,臺北港,114560.75,60375,54185.75
202407,蘇澳港,0,0,0
202407,安平港,48,24,24
202408,國際商港,1261338.25,613007.5,648330.75
202408,基隆港,149332,78030.25,71301.75
202408,臺中港,136535.25,68257,68278.25
202408,高雄港,842904.5,403080.5,439824
202408,花蓮港,0,0,0
202408,臺北港,132374.5,63585.75,68788.75
202408,蘇澳港,0,0,0
202408,安平港,192,54,138
202409,國際商港,1127045,564925.25,562119.75
202409,基隆港,133477.5,68283,65194.5
202409,臺中港,120561.5,60360.5,60201
202409,高雄港,757497.5,378012.75,379484.75
202409,花蓮港,0,0,0
202409,臺北港,115304.5,58167,57137.5
202409,蘇澳港,0,0,0
202409,安平港,204,102,102
202410,國際商港,1044875.25,528266.75,516608.5
202410,基隆港,124852,68179.75,56672.25
202410,臺中港,114665.25,57925.5,56739.75
202410,高雄港,694262,346921.25,347340.75
202410,花蓮港,0,0,0
202410,臺北港,111072,55240.25,55831.75
