ym,ds,port,full_container_count,empty_container_count,total_container_count,full_container_teu_est,empty_container_teu_est,total_container_teu_est,out_teu,total_teu,in_teu,empty_share_count,full_share_count,empty_share_teu_est,full_share_teu_est,direction_balance_teu,direction_balance_rate
202510,2025-10-01,安平港,78,62,140,156,124,280,NA,NA,NA,0.44285714285714284,0.5571428571428572,0.44285714285714284,0.5571428571428572,NA,NA
202511,2025-11-01,安平港,35,30,65,70,59,129,NA,NA,NA,0.46153846153846156,0.5384615384615384,0.4573643410852713,0.5426356589147286,NA,NA
202512,2025-12-01,安平港,68,30,98,136,60,196,NA,NA,NA,0.30612244897959184,0.6938775510204082,0.30612244897959184,0.6938775510204082,NA,NA
202601,2026-01-01,安平港,48,45,93,96,90,186,NA,NA,NA,0.4838709677419355,0.5161290322580645,0.4838709677419355,0.5161290322580645,NA,NA
202602,2026-02-01,安平港,16,13,29,32,26,58,NA,NA,NA,0.4482758620689655,0.5517241379310345,0.4482758620689655,0.5517241379310345,NA,NA
202603,2026-03-01,安平港,13,23,36,26,46,72,NA,NA,NA,0.6388888888888888,0.3611111111111111,0.6388888888888888,0.3611111111111111,NA,NA
202604,2026-04-01,安平港,11,0,11,22,0,22,NA,NA,NA,0,1,0,1,NA,NA
202101,2021-01-01,港口別總計,720707,128936,849643,1109393.25,199490,1308883.25,NA,NA,NA,0.15175314808690238,0.8482468519130976,0.15241237138606517,0.8475876286139348,NA,NA
202102,2021-02-01,港口別總計,615315,113004,728319,949905.5,168361.25,1118266.75,NA,NA,NA,0.155157286848208,0.844842713151792,0.1505555360561333,0.8494444639438667,NA,NA
202103,2021-03-01,港口別總計,741887,125806,867693,1144151.25,199059.5,1343210.75,NA,NA,NA,0.14498906871439554,0.8550109312856045,0.14819677403564557,0.8518032259643544,NA,NA
202104,2021-04-01,港口別總計,717723,123560,841283,1110162,193787,1303949,NA,NA,NA,0.14687091026444132,0.8531290897355587,0.14861547499173663,0.8513845250082633,NA,NA
